N,solver,meta_graph_time,solver_time,total_time,total_distance,error
5,gurobi,2.943442,0.044723,3.061536,4488.0571,
5,aco,4.032101,0.661767,4.802989,4488.0571,
5,greedy,4.338126,0.000138,11.548677,4506.5111,
10,gurobi,21.641563,0.062785,21.825162,7607.8254,
10,aco,20.993514,1.537554,22.666282,7607.8254,
10,greedy,22.003907,0.000132,22.275036,7660.252399999999,
15,gurobi,53.1891,0.735351,54.078555,9797.9625,
15,aco,55.469116,6.770789,63.411537,9825.2955,
15,greedy,104.768277,0.012218,105.89148,11872.1416,
20,gurobi,92.372418,1.441466,93.930848,10539.764599999999,
20,aco,54.491402,3.324469,57.908618,11527.446600000003,
20,greedy,55.312424,0.000179,55.408668,12989.522,
25,gurobi,84.662468,2.014996,86.711268,11009.8706,
25,aco,83.707175,5.522117,89.300588,11644.498500000005,
25,greedy,87.970184,0.000216,88.089082,13229.876500000002,
30,gurobi,128.277656,0.855787,129.166861,11174.888499999997,
30,aco,128.27445,8.913035,137.258819,12036.2583,
30,greedy,124.058996,0.000286,124.12443,13099.3084,
35,gurobi,169.446691,1.413988,170.945334,11480.1899,
35,aco,164.849606,11.588989,176.531512,12460.3518,
35,greedy,166.763746,0.000391,166.896162,14045.7179,
40,gurobi,227.281135,3.117678,230.461868,11994.0915,
40,aco,218.72518,16.426368,240.117963,13362.142199999998,
40,greedy,233.906029,0.000487,233.997507,16109.793399999999,
45,gurobi,291.16884,19.653267,310.860743,12878.438999999997,
45,aco,289.297019,21.412723,310.777082,14286.246000000001,
45,greedy,296.29009,0.00333,296.370085,14698.9906,
50,gurobi,354.645494,141.15447,495.862732,13613.160699999999,
50,aco,360.677034,34.178968,395.022401,14922.5907,
50,greedy,386.666221,0.000879,386.794797,15901.8633,
