start_index,origin,solver,meta_graph_time,solver_time,total_time,total_distance,visit_order,error
1,Amaravati,gurobi,12.776195,0.070967,12.904562,7607.8254,Amaravati → Panaji → Gandhinagar → Chandigarh → Shimla → Itanagar → Dispur → Patna → Ranchi → Raipur,
1,Amaravati,aco,14.487972,0.875678,15.468863,7607.8254,Amaravati → Raipur → Ranchi → Patna → Dispur → Itanagar → Shimla → Chandigarh → Gandhinagar → Panaji,
1,Amaravati,greedy,15.351535,9e-05,15.433129,7660.252399999999,Amaravati → Raipur → Ranchi → Patna → Dispur → Itanagar → Chandigarh → Shimla → Gandhinagar → Panaji,
2,Itanagar,gurobi,13.060269,0.234682,13.365532,7607.825399999999,Itanagar → Dispur → Shimla → Chandigarh → Gandhinagar → Panaji → Amaravati → Raipur → Ranchi → Patna,
2,Itanagar,aco,12.839175,1.140412,14.056448,7607.8254,Itanagar → Dispur → Patna → Ranchi → Raipur → Amaravati → Panaji → Gandhinagar → Chandigarh → Shimla,
2,Itanagar,greedy,12.748955,7e-05,12.826011,7607.8254,Itanagar → Dispur → Patna → Ranchi → Raipur → Amaravati → Panaji → Gandhinagar → Chandigarh → Shimla,
3,Dispur,gurobi,12.788594,0.192939,13.050114,7607.825399999999,Dispur → Itanagar → Shimla → Chandigarh → Gandhinagar → Panaji → Amaravati → Raipur → Ranchi → Patna,
3,Dispur,aco,12.874528,0.747864,13.697907,7607.825399999999,Dispur → Itanagar → Shimla → Chandigarh → Gandhinagar → Panaji → Amaravati → Raipur → Ranchi → Patna,
3,Dispur,greedy,12.535043,7.5e-05,12.616895,7607.825400000001,Dispur → Itanagar → Patna → Ranchi → Raipur → Amaravati → Panaji → Gandhinagar → Chandigarh → Shimla,
4,Patna,gurobi,12.695654,0.03637,16.789316,7607.825399999999,Patna → Dispur → Itanagar → Shimla → Chandigarh → Gandhinagar → Panaji → Amaravati → Raipur → Ranchi,
4,Patna,aco,13.687044,0.725217,14.481717,7607.8254,Patna → Ranchi → Raipur → Amaravati → Panaji → Gandhinagar → Chandigarh → Shimla → Dispur → Itanagar,
4,Patna,greedy,14.400695,9.1e-05,14.574961,7607.8254,Patna → Ranchi → Raipur → Amaravati → Panaji → Gandhinagar → Chandigarh → Shimla → Dispur → Itanagar,
5,Raipur,gurobi,16.881256,0.049099,17.035631,7607.8254,Raipur → Amaravati → Panaji → Gandhinagar → Chandigarh → Shimla → Itanagar → Dispur → Patna → Ranchi,
5,Raipur,aco,16.125476,0.814011,17.030325,7607.8254,Raipur → Ranchi → Patna → Itanagar → Dispur → Shimla → Chandigarh → Gandhinagar → Panaji → Amaravati,
5,Raipur,greedy,13.846565,7.4e-05,13.925288,7660.2524,Raipur → Ranchi → Patna → Dispur → Itanagar → Chandigarh → Shimla → Gandhinagar → Panaji → Amaravati,
6,Panaji,gurobi,14.07999,0.086766,14.238798,7607.8254,Panaji → Gandhinagar → Chandigarh → Shimla → Dispur → Itanagar → Patna → Ranchi → Raipur → Amaravati,
6,Panaji,aco,13.421204,0.832248,14.333042,7607.8254,Panaji → Amaravati → Raipur → Ranchi → Patna → Dispur → Itanagar → Shimla → Chandigarh → Gandhinagar,
6,Panaji,greedy,14.064591,6.6e-05,14.133577,7660.252399999999,Panaji → Amaravati → Raipur → Ranchi → Patna → Dispur → Itanagar → Chandigarh → Shimla → Gandhinagar,
7,Gandhinagar,gurobi,12.965916,0.042301,13.079222,7607.8254,Gandhinagar → Chandigarh → Shimla → Dispur → Itanagar → Patna → Ranchi → Raipur → Amaravati → Panaji,
7,Gandhinagar,aco,13.967247,0.90405,14.922272,7607.825399999999,Gandhinagar → Chandigarh → Shimla → Itanagar → Dispur → Patna → Ranchi → Raipur → Amaravati → Panaji,
7,Gandhinagar,greedy,13.622136,8.1e-05,13.670274,7660.252400000001,Gandhinagar → Panaji → Amaravati → Raipur → Ranchi → Patna → Dispur → Itanagar → Chandigarh → Shimla,
8,Chandigarh,gurobi,14.239677,0.189791,14.504603,7607.825400000001,Chandigarh → Gandhinagar → Panaji → Amaravati → Raipur → Ranchi → Patna → Dispur → Itanagar → Shimla,
8,Chandigarh,aco,14.427297,0.883828,15.404149,7607.8254,Chandigarh → Shimla → Itanagar → Dispur → Patna → Ranchi → Raipur → Amaravati → Panaji → Gandhinagar,
