N,solver,meta_graph_time_sec,solver_time_sec,total_time_sec,total_distance_km,error
5,gurobi,4.862349,0.323432,5.481777,5552.456399999999,
5,aco,4.507634,0.713415,5.319217,5552.456399999999,
5,greedy,4.591251,,4.68872,5552.4564,
10,gurobi,20.452711,0.09567,20.694048,5918.9854,
10,aco,19.859995,1.240368,21.165754,5918.9854,
10,greedy,20.292993,,20.354148,5918.9854,
15,gurobi,47.433379,0.642115,48.158066,7968.8033000000005,
15,aco,47.070069,3.038269,50.205173,8353.1393,
15,greedy,45.909222,,45.972117,8378.2094,
20,gurobi,87.359955,1.433079,88.824215,10450.030899999998,
20,aco,84.925443,6.643214,91.712784,11381.0973,
20,greedy,89.042619,,89.192951,13961.289400000001,
